id,ticker,type,side,quantity,avg_price,mark_price,equity,pnl,pnl_percent,portfolio_percent,pe_ratio,strike,option_type,expiry
a4ecd608-e7b4-4ff3-afa5-f77ae7632dfb,NVDA,stock,long,130.01,107.2,131.17,17052.79,3116.62,22.36,18.17,45.21,0,N/A,N/A
54db869e-f7d5-45fb-88f1-8d7072d4c8b2,GOOGL,stock,long,22.02,148.67,168.13,3702.05,428.5,13.09,3.95,19.05,0,N/A,N/A
ad1edbfb-19c8-4939-be66-1f09bd65b902,WMT,stock,long,2.27,88.41,96.3,218.82,17.92,8.92,0.23,41.11,0,N/A,N/A
6c15195b-fcd7-4a57-8e3c-232e158e5904,VGT,stock,long,12.6,546.68,592.81,7471.7,581.31,8.44,7.96,40.95,0,N/A,N/A
a4f0cca4-79dc-4297-9c02-5bce1909cd4b,BRK.B,stock,long,23.75,461.73,503.39,11955.3,989.32,9.02,12.74,13.42,0,N/A,N/A
309344d3-af67-4190-9970-b10618959fe5,PYPL,stock,long,67.68,70.04,69.8,4724.03,-15.93,-0.34,5.03,16.03,0,N/A,N/A
ec89803c-c5e5-4df1-889c-da4f8cb6f8cd,COST,stock,long,3.32,644.47,1007.49,3343.89,1204.87,56.33,3.56,59.44,0,N/A,N/A
e988f084-7653-4e65-8768-b3b7d24d6290,FDX,stock,long,4.02,252.45,215.74,867.86,-147.66,-14.54,0.92,13.74,0,N/A,N/A
91f7ea28-e413-4ca4-b9fa-91f5822f8b8d,TQQQ,stock,long,100.0,83.09,65.93,6592.93,-1716.07,-20.65,7.03,0,0,N/A,N/A
8e3cf424-da55-48cd-a287-018c0c27cb18,VOOG,stock,long,24.21,317.29,366.23,8866.41,1184.83,15.42,9.45,30.06,0,N/A,N/A
1be45236-6701-4d7e-af84-48dac3628879,VUG,stock,long,3.2,360.0,402.83,1291.03,137.26,11.9,1.38,36.5,0,N/A,N/A
cafcdc31-eca7-4a7a-bd0a-af71e7619803,GRAB,stock,long,102.19,3.65,4.95,505.84,132.82,35.61,0.54,885.71,0,N/A,N/A
01c79c41-bd99-4373-9b54-318ce64a45fb,IAUM,stock,long,63.93,26.94,33.45,2138.56,415.97,24.15,2.28,0,0,N/A,N/A
c7b07f89-07c3-49e3-a3bb-f66ac61132a5,GRMN,stock,long,8.79,82.97,200.59,1762.56,1033.5,141.76,1.88,26.55,0,N/A,N/A
ab56f82e-b48e-486f-b251-992e7323df82,MCK,stock,long,4.04,581.36,716.09,2895.24,544.72,23.17,3.09,27.63,0,N/A,N/A
f82f2908-cae3-4b06-86e2-28332a9bdfe3,NOW,stock,long,2.23,721.05,1005.0,2236.4,631.86,39.38,2.38,137.89,0,N/A,N/A
9a69c0d6-47b3-4d3e-b9f0-78d8e51630ac,SOFI,stock,long,125.0,15.66,13.07,1633.73,-323.82,-16.54,1.74,31.35,0,N/A,N/A
186161e4-fb22-4c0f-91bb-786572fc4eb2,TTD,stock,long,30.38,56.36,73.75,2240.56,528.41,30.86,2.39,90.9,0,N/A,N/A
c3428303-869b-4a54-a5c2-704015441d17,CART,stock,long,27.26,43.82,46.99,1280.86,86.47,7.24,1.37,30.89,0,N/A,N/A
cb64c837-faf7-4ba2-8cb2-1007d2f21292,WING,stock,long,3.64,265.8,322.47,1172.36,206.02,21.32,1.25,53.87,0,N/A,N/A
20e966b3-6aa1-4281-9bf0-5db52e2e8868,VRT,stock,long,5.66,106.12,104.5,591.04,-9.16,-1.53,0.63,60.41,0,N/A,N/A
2e21c3b3-0015-4661-af59-e2d5741bf55d,NVO,stock,long,15.57,82.19,67.3,1047.79,-231.81,-18.12,1.12,20.18,0,N/A,N/A
25add190-d683-4983-808f-44edf7b58c93,LLY,stock,long,2.05,860.93,714.0,1467.23,-301.93,-17.07,1.56,59.25,0,N/A,N/A
285239d2-a375-4f24-9fe6-006c229c4549,RKLB,stock,long,100.0,26.0,25.38,2538.0,-62.0,-2.38,2.7,-61.58,0,N/A,N/A
e3046ba9-60ef-403d-b249-3917c30813ab,HHH,stock,long,27.56,71.87,66.64,1836.45,-144.25,-7.28,1.96,12.84,0,N/A,N/A
5ba5f337-c6db-4e11-8f24-291b046d531a,BLD,stock,long,1.99,307.74,279.57,555.99,-56.02,-9.15,0.59,14.21,0,N/A,N/A
c526a890-5e98-4075-b572-cec8c391bcb5,HWM,stock,long,4.49,132.99,166.37,747.04,149.9,25.1,0.8,53.15,0,N/A,N/A
d083c5f8-e6ca-489d-a96f-93084ca374ac,ASML,stock,long,0.66,679.45,730.01,484.22,33.54,7.44,0.52,31.19,0,N/A,N/A
aedbea74-d6f6-412a-865c-1c7f1957ed38,CRWV,stock,long,10.12,49.43,103.3,1044.96,544.96,108.99,1.11,0,0,N/A,N/A
aec9d597-9fdb-4393-af8b-da2019e2c179,NKE,stock,long,1.72,58.06,60.01,103.35,3.35,3.35,0.11,20.4,0,N/A,N/A
8496c428-8b1e-4527-846e-d14bca764d16,RKLB,option,short,1.0,-0.35,1.26,-126.5,-161.5,461.43,0,-61.58,25.0,call,05/30/2025
